id,name,lat,lng,name_en,name_la,order,order_en,family,family_en,images,danger,stamps,habitat,habitat_en,diet,diet_en,breeding,breeding_en,dimensions,description,description_en,threats,threats_en,extra,extra_en,unit,alerts,who_is_who,did_you_know,did_you_know_en,keywords,occurrence,occurrence_en
40,Leguánek ostnitý,50.1178061,14.403565,Desert spiny lizard,Sceloporus magister,šupinatí,Squamata,ropušníkovití,Phrynosomatidae,,,,kamenité polopouště s roztroušenými keři,arid rocky shrubland and woodland,"bezobratlí, dužnaté části rostlin","invertebrates, juicy plant parts",,,,,,,,,,8,,,,,,Severní Amerika,North America
19,Anolis jeskynní,50.1162208,14.403565,Cuban cave anole,Anolis bartschi,šupinatí,Squamata,anolisovití,Dactyloidae,,,,skalní převisy a krasové jeskyně v tropických lesích,limestone cliffs or cave entrances in karst forest,bezobratlí,invertebrates,1 (vzácně 2) vejce;inkubace 60–70 dní,1 (rarely 2) egg;incubation 60–70 days,"[{""title"":""délka ocasu"",""value"":""2/3 celkové délky"",""title_en"":""tail length""},{""title"":""celková délka"",""value"":""20-27 cm"",""title_en"":""total length""}]","Díky prstům s lamelami a ostrými drápky dokáže obratně pobíhat i po kolmých či převislých vápencových stěnách. Na rozdíl od většiny jiných anolisů nemá typický hrdelní lalok. Samce lze poznat podle pásu modrých skvrn, který se mu táhne za okem.",This anole can scurry on vertical or overhanging rocks thanks to its fingers with lamellas and sharp claws. Unlike most other anole species it lacks the typical throat dewlap. The male has a stripe of blue spots behind its eye.,"Řada druhů ještěrů, od ještěrek přes anoli-
sy až třeba po gekony, uplatňuje při napa-
dení zvláštní způsob obrany: odhodí vlast-
ní ocas. Tomuto jevu říkáme autotomie.

Zatímco se predátor zabývá kroutícím se ocáskem, ještěr uteče do bezpečí. Ztracený ocas časem doroste, je však jiný než předtím: místo kostí má uvnitř jen chrupavku a již ho není možné odhodit, a také na pohled bývá kratší či s jinou barvou a uspořádáním šupin.","Many lizard species, from common lizards to anoles and even geckos, use a special form of defence: they can shed their own tails, a phenomenon known as caudal autotomy. While the predator is distracted by the twisting tail, the lizard escapes to safety. A lost tail will grow back over time, but it is different than before: instead of bones it only has cartilage inside and can no longer be discarded. It is also shorter or has a different colour and arrangement of the scales.","Kuba je druhou nejbohatší zemí světa hned po Kolumbii, co se týče počtu druhů anolisů, kteří zde žijí. Najdeme jich tu více než 60 a většina nežije nikde jinde na Zemi.","After Colombia, Cuba is the second richest country in the world in terms of the number of anole species that live there. There are more than 60 and most do not live anywhere else on Earth.",8,,,,,,,
21,Argus okatý,50.11654,14.4062211,Great argus,Argusianus argus,hrabaví,Galliformes,bažantovití,Phasianidae,,VU,,husté lesy od nížin do 1000 m n. m.,dense forests from lowlands to 1000 m above sea level,"semena a části rostlin, bezobratlí","seeds and parts of plants, invertebrates",2 vejce;inkubace 24–25 dní,2 eggs;incubation 24–25 days,"[{""title"":""hmotnost"",""value"":""1,6-2,7 kg"",""title_en"":""weight""},{""title"":""délka"",""value"":""160-200 cm"",""title_en"":""length""}]","Samec má prodloužené loketní letky a velmi dlouhá ocasní pera, zdobená skvrnami ve tvaru očí. Při toku si v podrostu vyčistí místo, kde předvádí své tance. Argus je jméno mnohooké příšery z řecké mytologie.","The male has elongated winglets and very long tail feathers, decorated with eye-shaped spots. During the mating season, he clears a place in the undergrowth where he performs his dances. Argus is the name of a many-eyed monster from Greek mythology.",,,,,12,,,,,,,
20,Antilopa vraná,50.1185286,14.4075736,Sable antilope,Hippotragus niger,sudokopytníci,Cetartiodactyla,turovití,Bovidae,,LC,,"savana, světlé lesy",savanna woodlands,"traviny, byliny, listí","grasses, herbs, leaves",březost 9 měsíců;1 mládě,gestation 9 months;1 young,"[{""title"":""hmotnost"",""value"":""190-270 kg"",""title_en"":""weight""},{""title"":""délka těla"",""value"":""190-255 cm"",""title_en"":""body length""},{""title"":""délka ocasu"",""value"":""40-75 cm"",""title_en"":""tail length""},{""title"":""výška v kohoutku"",""value"":""117-143 cm"",""title_en"":""shoulder height""}]","Antilopy vrané mají obloukovitě ohnuté rohy, u samců dlouhé až 160 cm. Sytě černí („vraní“) samci s bílou kresbou v obličeji a na břiše si brání stálé teritorium, kde je navštěvují stádečka čokoládově hnědých samic. Mláďata jsou béžová.","The horns of sable antelopes, up to 160 cm long in males, are bent into an arch. Males defend territories where they are visited by female herds. An adult male is black except for the white markings on the head and belly, while females are chocolate brown and young are beige.","Přestože byla antilopa vraná na mnoha místech svého původního výskytu vyhubena, stále je v přírodě natolik hojná, že o její budoucnost nepanují obavy. To však platí pouze pro druh jako takový. U jednotlivých poddruhů je situace odlišná: antilop vraných angolských zbývá v přírodě jen asi 200–400 a jsou kriticky ohrožené. Mohou za to táhlé války, které se vedly v jejich angolské domovině.","Although the sable antelope has been wiped out in many places where it originally occurred, it is still sufficiently abundant in the wild that there are no great worries for its future. However, this can only be said for the species as a whole. For individual subspecies, the situation is different: there are only about 200–400 giant sable antelopes in the wild and the subspecies is critically endangered. This is due to the wars that took place in its Angolan homeland.","Mláďata antilop vraných se rodí béžová a v prvních dnech leží nehybně stočená ve vysoké trávě, aby unikla pozornosti predátorů. Také matka se první týden po porodu drží stranou stáda a dohlíží na mládě.",Sable antelopes are born beige and for the first days they lie motionless in the tall grass to escape predator's attention. For the first week after the birth the mother stays apart from the herd to look after the calf.,,,,"Antilopy vrané obývají podobně jako mnoho jiných živočichů území zvané teritorium. Zajišťuje jim dostatek potravy i vhodné podmínky pro odchov potomků. Hranice jednotlivých teritorií se nepřekrývají, aby nedocházelo ke sporům. Velikost teritoria souvisí především s množstvím potravy, kterou zvířatům poskytuje.","Similarly to many other animals, the sable antelopes inhabit a territory. This provides them with enough food and suitable conditions for bringing up their young. The borders of these territories do not overlap so as to avoid disputes. The size of the territory is mainly related to the amount of food it can provide for the animals.",,,
41,Leguánek pruhoocasý,50.1178061,14.403565,Zebra-tailed lizard,Callisaurus draconoides,šupinatí,Squamata,ropušníkovití,Phrynosomatidae,,,,pouště na jihozápadě USA,deserts in the SW USA,"bezobratlí, občas květy a plody","bezobratlí, občas květy a plody",,,,,,,,,,8,,,,,,Severní Amerika,North America
51,Holoubek skořicový,50.1162208,14.403565,Ruddy ground-dove,Columbina talpacoti,měkkozobí,Columbiformes,holubovití,Columbidae,,LC,,"otevřená krajina s roztroušenými stromy, houštiny, zahrady","lightly wooded semi-open country, bushes, gardens","drobná semena, okrajově hmyz","grains and other seeds, occasionally insects",2 vejce;inkubace 11–13 dní,2 eggs;incubation 11–13 days,"[{""title"":""hmotnost"",""value"":""35-56 g"",""title_en"":""weight""},{""title"":""délka"",""value"":""14-18 cm"",""title_en"":""length""}]","Pohybuje se obvykle v párech nebo menších hejnech, za potravou slétá na zem. Na některých místech Jižní Ameriky zdomácněl i v centrech velkých měst, kde hnízdí na trámech pod krovy a na verandách.","It usually moves around in pairs or smaller flocks and flies down to the ground for food. In some places of South America, it has become naturalized in big city centres, where it nests on beams under roofs and on porches.",,,,,8,,,,,,Jižní Amerika,South America
22,Arowana dvojvousá,50.1162208,14.403565,Silver arowana,Osteoglossum bicirrhosum,ostnojazyční,Osteoglossiformes,ostnojazykovití,Osteoglossidae,,,,mělké záplavové vody,shallow water in flooded areas,jakákoliv přiměřeně velká kořist,any prey of suitable size,cca 150 jiker;inkubace 1 týden,approx. 150 eggs;incubation 1 week,"[{""title"":""hmotnost"",""value"":""2 kg"",""title_en"":""weight""},{""title"":""délka"",""value"":""60-90 cm"",""title_en"":""length""}]","Potravu loví především u hladiny, ale dovede za ní i vyskočit vysoko do vzduchu. Vousky na tlamě používá jako předsunutý smyslový orgán, který ji včas upozorní na zčeření hladiny ohlašující blízkost kořisti.",The silver arowana is not a picky hunter. It mostly hunts near the surface but can leap out of the water to snatch its prey. Whiskers around the mouth serve as a pre-sensory device that can detect ripples announcing the proximity of prey.,,,,,8,,,"Arowany se třou na začátku období záplav, kdy stoupá hladina řek. Po vytření nabere samec oplozené jikry do tlamy, kde proběhne jejich inkubace. V bezpečí otcovy tlamy zůstává plůdek ještě zhruba dva měsíce po vykulení z jiker, dokud rybky nezesílí, nevstřebá se jim žloutkový váček pod bříškem, ze kterého čerpaly výživu, a nezačnou samostatně lovit.","Arowana spawn at the beginning of the flood season, when the river level rises. After spawning, the male takes the fertilized eggs into his mouth, where their incubation takes place. The fry remain in the safety of the father’s mouth for about two months after hatching until they become stronger, have absorbed the yolk sac under their belly, which provides nourishment, and can begin to hunt on their own.",,,
23,Batagur bengálský,50.1161675,14.4077914,Northern river terrapin,Batagur baska,želvy,Testudines,batagurovití,Geoemydidae,,CR,,ústí řek a mangrovy s písčitými břehy,esturiane and mangrove habitats with sandy banks,"zelené části rostlin, plody, méně i živočišná potrava","riverside plants and fruits, also animal matter",18–33 vajec;inkubace 70–112 dní,18–33 eggs;incubation 70–112 days,"[{""title"":""hmotnost"",""value"":""27 kg"",""title_en"":""weight""},{""title"":""délka karapaxu"",""value"":""40-60 cm"",""title_en"":""carapace length""}]","Patří k největším sladkovodním želvám. V období páření procházejí samci unikátní barvoměnou: hlava a horní část krku se jim vybarví do obsidiánově černé, v níž jasně září zelenožluté oči, ostatní masité části těla zrůžoví. Takovou barvu nenajdeme u žádné jiné želvy světa.","It is one of the largest freshwater turtles. During the mating season, males undergo a unique colour change: the head and upper part of the neck turn black, from which the green-yellow eyes glow brightly. The other fleshy parts turn pink. Such a distinctive colour is not found in any other turtle in the world.","Batagur bengálský patří mezi nejohroženější želvy světa. V přírodě se stal tak vzácným, že zvířata jen obtížně nacházejí partnery a setkat se s mládětem je zcela ojedinělý úkaz. Příčinou je především ničení a znehodnocování přirozeného prostředí batagurů – ústí velkých řek. Batagurové zde čelí znečištění vody, nadměrnému hluku i likvidaci přirozených břehů a mnozí také uhynou v rybářských sítích.","The northern river terrapin is one of the most endangered turtles in the world. It has become so rare in the wild that the animals have difficulty finding partners and meeting a young terrapin is a unique occurrence. The main cause is the destruction and degradation of the northern river terrapin’s natural environment – the mouths of large rivers. Here they face water pollution, excessive noise and the destruction of natural banks, and many also die in fishing nets.","Ve snaze o záchranu batagurů bengálských před úplným vyhynutím bylo založeno několik pojistných populací. Mláďata, která se v nich vylíhnou, mohou být vypuštěna do přírody a posílit početní stavy svých volně žijících soukmenovců.","In an effort to save the northern river terrapin from com- plete extinction, several insurance populations have been established. The young that hatch in them can be released into the wild and thus strengthen the numbers of their wild conspecifics.",,,,,,,,
26,Užovka obojková,50.1164275,14.4079608,Grass snake,Natrix natrix,šupinatí,Squamata,užovkovití vodní,Natricidae,,LC,,"okolí vod, lesy","water vicinity, forests","obojživelníci, ryby","amphibians, fish",10–40 vajec;inkubace 6–8 týdnů,10–40 eggs;incubation 6–8 weeks,"[{""title"":""hmotnost"",""value"":""150–350 g"",""title_en"":""weight""},{""title"":""délka"",""value"":""50–100 cm (výjimečně až/rarely up to 130 cm)"",""title_en"":""length""}]","Kdysi to byl náš nejběžnější had, dnes však mizí kvůli úbytku obojživelníků a znečištění. Za hlavou má typické světlé půlměsíčky. V ohrožení vypouští páchnoucí výměšek z análních žláz nebo se staví mrtvou.","It used to be one of the most common snake species in the Czech Republic, but today it is disappearing due to the drop in amphibians and pollution. It has typical bright crescents behind its head. When threatened, it releases a foul-smelling secretion from the anal glands or feigns death.",,,,,,,,,,,"Evropa, střední a jihozápadní Asie","Europe, Central and Southwest Asia"
42,Leguánovec obojkový,50.1178061,14.403565,Common collared lizard,Crotaphytus collaris,šupinatí,Squamata,leguánovcovití,Crotaphytidae,,,,skalnaté pouště,rocky desert,"bezobratlí, malí obratlovci","invertebrates, small vertebrates",,,,,,,,,,8,,,,,,Severní Amerika,North America
52,Holub bělolící filipínský,0,0,Philippine metallic pigeon,Columba vitiensis griseogularis,měkkozobí,Columbiformes,holubovití,Columbidae,,LC,,"lesy, zahrady, plantáže","forests, gardens, plantations","drobné plody, pupeny, semena, příležitostně i bezobratlí","small fruits, buds, seeds, occasionally also invertebrates",1 (výjimečně 2) vejce;inkubace 17–19 dní,1 (rarely 2) egg;incubation 17–19 days,"[{""title"":""hmotnost"",""value"":""270-510 g"",""title_en"":""weight""},{""title"":""délka"",""value"":""37-41 cm"",""title_en"":""length""}]","Pohybuje se osaměle, ve dvojicích nebo v menších rodinných skupinkách, občas nocuje ve smíšených hejnech s jinými druhy holubů. Z potravy má v obzvláštní oblibě bobule lilkovitých rostlin, včetně chilli papriček.","These pigeons usually forage for food up in trees and bushes but they do fly down to ground level sometimes. They are particularly partial to the berries of solanaceous plants, including chili peppers. They move around singly, in pairs or in small family groups.",,,,,,,,,,,Filipíny,Philippines
79,Hrdlička čínská,0,0,Spotted dove,Spilopelia chinensis,měkkozobí,Columbiformes,holubovití,Columbidae,,LC,,"vlhké opadavé lesy, zahrady, parky","humid deciduous forests, gardens, parks","semena, traviny, byliny, drobné plody","seeds, grasses, herbs, small fruits",2 vejce;inkubace 14–16 dní,2 eggs;incubation 14–16 days,"[{""title"":""hmotnost"",""value"":""106-198 g"",""title_en"":""weight""},{""title"":""délka"",""value"":""27,5-30 cm"",""title_en"":""length""}]","Žije v párech nebo v malých skupinkách, při přeletech za potravou se však shlukuje do velkých hejn. Byla vysazena na mnoha místech světa, od Havaje přes Mauricius až po Austrálii, kde často vytlačuje původní druhy holubů.","The spotted dove lives mostly in pairs or small groups, however, when flying in search of food the birds gather in large flocks. It was introduced to many parts of the world, from Hawaii through Mauritius up to Australia, where it often expels native species of doves.",,,,,,,,,,,Čína,China
24,Batagur tuntong,50.1161675,14.4077914,Southern river terrapin,Batagur affinis,želvy,Testudines,batagurovití,Geoemydidae,,CR,,"delty, pobřežní laguny, řeky","estuaries, coastal lagoons, rivers","vodní rostliny, zřídka i vodní bezobratlí","aquatic plants, rarely also aquatic invertebrates",10–30 vajec;inkubace 67–77 dní,10–30 eggs;incubation 67–77 days,"[{""title"":""hmotnost"",""value"":""15-50 kg"",""title_en"":""weight""},{""title"":""délka karapaxu"",""value"":""40-60 cm"",""title_en"":""carapace length""}]","Řadí se mezi nejohroženější želvy světa. Je úzce vázán na vodní prostředí a na souš vylézá jen v době kladení vajec. Během námluv mají samci antracitově černou hlavu a na hrdle bílou skvrnu tvaru šípu, samice mají hlavu žlutavě bílou.","It is one of the most endangered turtle species in the world. Strictly aquatic, it leaves the water only to lay eggs. Males in breeding colour have their heads mostly black, while females’ heads are yellowish white.","V přírodě zřejmě žije jen asi 200 těchto želv. Ohrožuje je zejména znečištění velkých řek, kde žijí, méně i lov pro maso a sběr vajec, která bývala například v Kambodži považována za královskou pochoutku. Vybíjení batagurů usnadňuje skutečnost, že se samice shromažďují každý rok stejnou dobou na tradičních kladištích, takže jsou pro lovce snadným terčem.","There are only about 200 of these turtles living in the wild. They are particularly threatened by the pollution of the large rivers they live in, to a lesser extent by hunting for meat and collecting the eggs, which were once considered a royal delicacy in Cambodia. The fact that females gather at the same time each year at traditional nesting sites makes them an easy target for hunters.","Batagurové tuntong žijící v tomto pavilonu byli zachráněni ze zásilky pro asijské gurmány, kterou se podařilo zabavit pašerákům. V roce 2019 jsme od nich odchovali mláďata – vůbec první v Evropě.","The southern river terrapins living in this house were rescued from a shipment for Asian gourmets, confiscated from poachers. In 2019, we managed to rear their offspring. This was the first time that the species has reproduced in Europe.",3,,,,,,,
43,Lelkoun soví,50.1167806,14.4089353,Tawny frogmouth,Podargus strigoides,lelkové,Caprimulgiformes,lelkounovití,Podargidae,,LC,,"nejrůznější prostředí se stromy a keři, včetně parků a zahrad","trees or shrubs, including those in parks and gardens","hmyz a další bezobratlí, drobní obratlovci","insects and other invertebrates, small vertebrates",1–3 vejce;inkubace 30 dní,1–3 eggs;incubation 30 days,"[{""title"":""hmotnost"",""value"":""180–680 g"",""title_en"":""weight""},{""title"":""délka"",""value"":""34–53 cm"",""title_en"":""length""}]","Má dokonalé krycí zbarvení, a protože na větvích sedí nehybně, zcela splývá s okolím. Aktivní je v noci. Staví plochá hnízda z větviček a peří na vodorovných větvích, samice sedí na vejcích v noci, samec ve dne.","The tawny frogmouth is a night bird and a master of camouflage: during the day, it sits motionlessly in a tree, looking like a dead branch. It builds flat nests of twigs and feathers. The female sits on the eggs at night and the male during the day.",,,"Během zimy se lelkouni soví musejí vyrovnat s drasticky sníženou dostupností potravy. Aby šetřili energii, upadají vždy na několik hodin do stavu strnulosti, kdy se jejich metabolismus a srdeční tep zpomalí a teplota poklesne až o 10° C.","During the winter, the tawny frogmouth has to cope with a drastic reduction in food. In order to save energy, they fall into a state of torpidity for several hours, when their metabolism and heart rate slow down and their temperature drops by as much as 10 °C.",17,,,"Lelkouni si občas lehají na zem, s křídly do široka roztaženými, otevřeným zobákem, přivřenýma očima a hlavou „vyvrácenou“ na stranu. Navzdory dojmu, kterým tato poloha může působit, však podobně ležící pták není nemocný ani zraněný. Jen se prostě a jednoduše vyhřívá a nastavuje tvář i tělo slunečním paprskům.","Tawny frogmouths sometimes lye on the ground with their wings spread wide, their beaks open, their eyes half-closed and their heads turned to the side. Despite the impression that this position gives, a bird lying in such a manner is neither ill nor injured. It is simply warming up and turning its face and body to the sun’s rays.",,Austrálie,Australia
25,Leguán kyjoocasý,50.1162208,14.403565,Five-keeled spiny-tailed iguana,Ctenosaura quinquecarinata,šupinatí,Squamata,leguánovití,Iguanidae,,EN,,suché tropické lesy,tropical dry forest,"části rostlin, méně hmyz","plant parts, to a lesser extent also insects",8–18 vajec;inkubace 3 měsíce,8–18 eggs;incubation 3 months,"[{""title"":""hmotnost"",""value"":""cca 100 g"",""title_en"":""weight""},{""title"":""délka"",""value"":""19-35 cm"",""title_en"":""length""}]","Má kyjovitý, ostnitý ocas, kterým se při ohrožení brání: bolestivé švihnutí přes čumák často menšího predátora odradí. Ocasem také zacpává vchod do dutiny ve větvi nebo mezi kameny, která mu slouží za úkryt.",This small iguana species has a club- shaped spiny tail that it uses in self- defense: small predators are easily discouraged by a painful flick over the nose. The tail is also used to block the entrance to a tree branch cavity or a rock crevice where the iguana hides.,"Leguán kyjoocasý obývá jen nevelké území Střední Ameriky na pomezí Kostariky a Ni- karaguy. Jeho populace zde čítá nanejvýše 2 500 dospělých jedinců, roztroušených do přibližně 10 až 15 malých, vzájemně oddělených oblastí, ve kterých spolu ještěři takřka nepřijdou do kontaktu. Proto je po- važován za ohrožený druh.","Five-keeled spiny-tailed iguana inhabits only a small area on the border of Costa Rica and Nicaragua. Its population amounts to a maximum of 2,500 adult animals scat- tered into approximately 10 to 15 small areas between which the lizards seldom come into contact. This is why it is consid- ered an endangered species.",,,,,,,,,,
123,Lori černý,0,0,Black lory,Chalcopsitta atra,papoušci,Psittaciformes,papouškovití,Psittacidae,,LC,,"otevřená krajina se stromy a křovinami, plantáže, mangrovy","open habitats with trees and bushes, plantations, mangroves","květy, pyl a nektar","flowers, pollen, nectar",2 vejce;inkubace 25 dní,2 eggs;incubation 25 days,"[{""title"":""hmotnost"",""value"":""230-260 g"",""title_en"":""weight""},{""title"":""délka"",""value"":""32 cm"",""title_en"":""length""}]","O jeho životě v přírodě víme velmi málo, většina údajů pochází z chovů v lidské péči. Mimo dobu hnízdění se často sdružuje do početných hejn, při hnízdění je velmi bojovný. Oba rodiče se střídají v péči o mláďata.",We do not know much about the life of the black lory in the wild. Most of the data come from captive birds. Apart from the nesting season they often gather in numerous flocks. Both parents take care for their chicks and can be very aggressive towards any intruder when nesting.,,,,,,,,"Základem potravy většiny papoušků jsou semena a suché plody. Loriové však mají nejraději nektar z květů, k čemuž se jim uzpůsobil jazyk. Na papouščí poměry je velmi dlouhý a na špičce má vláskovité výrůstky (tzv. papily). Když lori co nejvíce vystrčí jazyk, aby jím mohl lízat sladkou šťávu, papily se naježí do štětičky a nabírají pak nektar stejně účinně jako vlas ve štětci barvu. Pokud je jazyk zastrčený, papily jsou uhlazené.","The basic food for most parrots is seeds and dry fruits. Lories and lorikeets, however, prefer flower nectar and their tongues have adapted to this. They are very long for a parrot and their tips have hairy appendages (papillae), which, when the tongue is fully extended to lick the sweet juice, stand on end like bristles on a brush, soaking up nectar just as efficiently as a paintbrush takes up paint.",,Indonésie,Indonesia
64,Varan molucký,50.1164275,14.4079608,Quince monitor,Varanus melinus,šupinatí,Squamata,varanovití,Varanidae,,EN,,"nížinné tropické lesy, mokřady","lowland tropical rainforests, wetlands","bezobratlí a drobní obratlovci, zdechliny","invertebrates and small vertebrates,
carcasses",3–8 vajec;inkubace 5–6 měsíců,3–8 eggs;incubation 5–6 months,"[{""title"":""hmotnost"",""value"":""500–3500 g"",""title_en"":""weight""},{""title"":""délka"",""value"":""80–135 cm"",""title_en"":""lenght""}]","Je blízkým příbuzným varana mangrovového, ale vědecky popsán byl až v roce 1997. Typický je žlutou základní barvou s černou kresbou a ze stran zploštělým ocasem. Zdržuje se v křovinách a na nižších stromech, dobře plave a loví i ve vodě.","It is closely related to the mangrove monitor but was scientifically described as late as 1997. Identified by its typical basic yellow colouring with black pattern and the laterally flattened tail, it spends its time in the bushes or on small trees, can swim well and even hunts in the water.",,,,,,,,,,,Indonésie,Indonesia
53,Holub bronzový,0,0,Green imperial pigeon,Ducula aenea,měkkozobí,Columbiformes,holubovití,Columbidae,,LC,,"lesy, bažiny, mangrovy, otevřená krajina s malými lesíky","forests, swamps, mangroves, open landscape with small woods","drobné plody, pupeny","small fruits, buds",1 vejce;inkubace 23–26 dní,1 egg;incubation 23–26 days,"[{""title"":""hmotnost"",""value"":""360-650 g"",""title_en"":""weight""},{""title"":""délka"",""value"":""40-47 cm"",""title_en"":""length""}]","Potravu sbírá v korunách stromů, ale hnízdí v nižších patrech lesa. Ve zvláštní oblibě má divoké fíky a muškátové oříšky. Létá prudkým přímým letem, při letu občas tleská křídly o sebe jako většina holubů.","It collects food in tree crowns but nests also in lower floors of the forest. It especially likes wild figs and nutmegs. It flies steeply and directly and claps its wings at times when flying, just as most pigeons do.",,,,,,,,,,,Jihovýchodní Asie,South East Asia
82,Hroznýšovec duhový,50.1164275,14.4079608,Brazilian rainbow boa,Epicrates cenchria,šupinatí,Squamata,hroznýšovití,Boidae,,,,tropické deštné lesy,tropical rainforest,menší obratlovci,small vertebrates,„březost“ 5–6 měsíců;až 30 mláďat,“gestation” 5–6 months;up to 30 young,"[{""title"":""hmotnost"",""value"":""1-1,5 kg"",""title_en"":""weight""},{""title"":""délka"",""value"":""200-250 cm"",""title_en"":""length""}]","Je to spíše pozemní had, aktivní za soumraku, kdy se vydává na lov kořisti. Přes den se skrývá ve vlhkém podrostu. Jeho pokožka proto nemusí zabraňovat vysychání, je vláčná a hebká, s typickým duhovým leskem.","It is more a terrestrial snake, active at dusk, when it sets out to hunt its prey. During the day it hides in damp undergrowth. This means its skin does not have to prevent drying out, it is supple and soft, with a typical iridescent rainbow shine.",,,,,,,,,,,Severní Brazílie,Northern Brazil
44,Lemur běločelý,50.1167375,14.4097183,White-headed lemur,Eulemur albifrons,primáti,Primates,lemurovití denní,Lemuridae,,EN,,"vlhké lesy, horské deštné lesy","moist forest, mountain rainforest","plody, květy a další části rostlin","fruits, flowers, and other plant parts",březost 120 dní;1 mládě,gestation 120 days;1 young,"[{""title"":""hmotnost"",""value"":""cca 2 kg"",""title_en"":""weight""},{""title"":""délka těla"",""value"":""39–42 cm"",""title_en"":""body length""},{""title"":""délka ocasu"",""value"":""50–54 cm"",""title_en"":""tail length""}]","Většinu času tráví na stromech, kde obratně běhá i skáče, přičemž dlouhým ocasem udržuje rovnováhu. Na zem sestupuje jen málokdy. Žije ve volně uspořádaných skupinách bez výrazné hierarchie, které obvykle čítají do dvanácti jedinců.","It spends most of its time in trees, where it runs and jumps with agility, using its long tail for balance. It rarely comes down to the ground. It lives in freely organised groups with no significant hierarchy, which usually comprise of up to twelve individuals.","V některých oblastech svého výskytu je lemur běločelý nejčastěji loveným druhem lemura. Vedle lovu ho ale především ohrožuje ničení jeho přirozeného prostředí, ať už výběrovou těžbou dřeva, nebo vypalováním lesů za účelem vytvoření políček na vzniklém spáleništi. Od 90. let minulého století tak počet lemurů běločelých poklesl na méně než polovinu.","In some areas of its geographic range the white-fronted lemur is the most commonly hunted lemur species. In addition to hunting, it is threatened by the destruction of its natural environment, either by selective logging or by slash-and-burn farming. Since the 1990’s, the number of white-fronted lemurs has fallen to less than half.","Samci lemurů běločelých se od šedohlavých samic na první pohled nápadně odlišují obličejem orámovaným bílou srstí, která je často delší a na tvářích tvoří licousy. Rozdíl je přitom patrný již na několikatýdenních mláďatech.","Male white-fronted lemurs differ from the grey-headed females by the white bushy fur surrounding their otherwise dark face, which is often quite long on the cheeks. The difference in coloration between genders appears as early as a few weeks after birth.",22,"{""text"":""Prosíme, nekrmte zvířata, nesahejte na ně a neplašte je."",""text_en"":""Please do not feed, touch or scare animals."",""text_ru"":""Пожалуйста, не трогайте животных, не кормите их и не пугайте.""}",,"Dolní přední zuby lemurů – čtyři řezáky společně se dvěma špičáky – jsou výrazně nakloněné dopředu, protáhlé a těsně přimknuté jeden k druhému, čímž vytvářejí zvláštní strukturu známou jako zubní hřebínek. Lemuři si s jeho pomocí pročesávají srst a čistí ji od případných nečistot, aby byla stále v perfektním stavu.","The lower front teeth of lemurs – four incisors together with two canines – tilt forward, are elongated and tightly packed to one another, creating a special structure known as a toothcomb. Lemurs use it to comb their hair and clean it from any dirt, keeping it in perfect condition.",,Madagaskar,Madagascar
55,Užovka podplamatá,50.1164275,14.4079608,Dice Snake,Natrix tessellata,šupinatí,Squamata,užovkovití vodní,Natricidae,,LC,,teplé oblasti kolem řek,warm localities around rivers,"ryby, obojživelníci","fish, amphibians",5–35 vajec;inkubace 6–7 týdnů,5–35 eggs;incubation 6–7 weeks,"[{""title"":""hmotnost"",""value"":""80–500 g"",""title_en"":""weight""},{""title"":""délka"",""value"":""samci 50–100 cm, samice 70–110 cm"",""title_en"":""length""}]","Jméno dostala podle kresby na bocích, která připomíná plamínky. Je vysloveně teplomilná a silně vázaná
na vodu. Výborně plave, pro kořist
se potápí a vynáší si ji ke břehu. Mláďata se líhnou v září, ale až do jara následujícího roku zůstávají v úkrytu
a nepřijímají potravu.","It is highly thermophilic and strongly
bound to water. It swims well, dives
for prey and takes it to shore. The
young hatch in September, however,
they remain in hiding until the next
spring and do not eat.",,,,,,,,,,,"Střední a jihovýchodní Evropa, střední a jihozápadní Asie","Central and Southeastern Europe, Central and Southwest Asia"
87,Husčka stromová,50.1172497,14.4018225,West indian whistling-duck,Dendrocygna arborea,vrubozobí,Anseriformes,kachnovití,Anatidae,,NT,,"lesnaté mokřady a savany, mangrovy","swamps and woodland savannas, mangroves","plody, semena, méně i drobní živočichové","fruits, seeds, to a lesser extent small animals",6–12 vajec;inkubace 30 dní,6–12 eggs;incubation 30 days,"[{""title"":""hmotnost"",""value"":""1,15 kg"",""title_en"":""weight""},{""title"":""délka"",""value"":""48-58 cm"",""title_en"":""length""}]","Přes den odpočívá na stromech, teprve za soumraku a v noci odlétá v malých skupinkách k vodním plochám shánět potravu. V přírodě je čím dál vzácnější, ohrožuje ji ztráta vhodných míst k životu a lov pro maso a vejce.","During the day, it rests in trees; only at dusk and at night do small groups fly down to the water surfaces to seek food. It is becoming ever rarer in the wild, facing threats from habitat loss and hunting for meat and eggs.",,,,,25,,,,,,"Kuba, Dominikánská Republika","Cuba, Dominican Republic"
